station,pred,datum,temperatur,nederbordsmangd,vindriktning,vindhastighet,lufttryck,daggpunktstemperatur,month,lag_temperatur
Station_1,103.10112309090225,2017-04-18,3.2,0,186.70833333333334,1.9166666666666663,1035.5666666666666,-3.7999999999999994,4,2.7
Station_1,100.57392339670052,2017-04-19,5.6,0,251.625,3.8958333333333326,1030.0416666666667,1.008333333333333,4,3.2
Station_1,92.65816045959384,2017-04-20,8.7,1.1,274.7083333333333,6.458333333333333,1014.775,5.737499999999998,4,5.6
Station_1,83.8919096916538,2017-04-21,7,0,294.5833333333333,6.037499999999999,1011.2416666666667,0.42916666666666686,4,8.7
Station_1,89.31847992574508,2017-04-22,6.2,1.4,293.125,5.125000000000001,1013.2583333333333,0.6791666666666668,4,7
Station_1,91.73338771624204,2017-04-23,5.5,2.7,216.5,5.364285714285715,1007.4571428571429,3.5714285714285716,4,6.2
Station_1,93.82159607987352,2017-04-24,4.5,2.2,247.78571428571428,4.164285714285715,999.5,1.9285714285714286,4,5.5
Station_1,96.85950027790874,2017-04-25,5.7,0,279.07142857142856,2.9642857142857144,1010.2071428571429,0.2857142857142857,4,4.5
Station_1,93.288864104268,2017-04-26,6.1,1.6,207.75,2.941666666666667,1011.2458333333333,0.5458333333333332,4,5.7
Station_1,91.89472871479573,2017-04-27,7.5,2.8,155.70833333333334,4.095833333333333,1012.2541666666666,2.4708333333333337,4,6.1
Station_1,87.71217097693999,2017-04-28,6.2,2.5,108.58333333333333,2.695833333333333,1017.3416666666667,1.8,4,7.5
Station_1,91.78383743438768,2017-04-29,6.5,0,136.375,2.9791666666666665,1023.0833333333331,-0.3541666666666666,4,6.2
Station_1,90.69026567968184,2017-04-30,7.8,0,96.16666666666667,4.3,1023.5208333333331,-3.4250000000000003,4,6.5
Station_1,73.15717649389009,2017-05-01,9.6,0,82.16666666666667,4.091666666666666,1026.5125000000003,-2.9875000000000003,5,7.8
Station_1,65.91073007072106,2017-05-02,11.3,0,72.5,3.804166666666666,1029.0458333333333,-1.7874999999999999,5,9.6
Station_1,60.53637285594515,2017-05-03,10.6,0,51.416666666666664,5.937499999999999,1028.0041666666668,-2.816666666666667,5,11.3
Station_1,63.07354037864025,2017-05-04,10.6,0.2,69.08333333333333,3.320833333333333,1024.0166666666667,1.6041666666666667,5,10.6
Station_1,60.49350297579918,2017-05-05,13,0.2,193.04166666666666,1.7500000000000002,1016.7041666666668,2.8041666666666667,5,10.6
Station_1,54.939738848445465,2017-05-06,9.4,3.8,153.70833333333334,2.2125,1013.4208333333335,4.079166666666667,5,13
Station_1,68.60888968529416,2017-05-07,7.8,0.7,156.91666666666666,4.5875,1017.8833333333331,0.04583333333333337,5,9.4
